vvp -N testbench_wb.vvp

Memory Mapping Test:
addr 00000004: 0600600B
addr 00000008: 0013AEE1
addr 0000000C: 00010000
addr 00000010: 0200A10B
addr 00000014: 0201218B
addr 00000018: 000000B7
addr 0000001C: 16008093
addr 00000020: 0000410B
addr 00000024: 0020A023
addr 00000028: 0001410B
addr 0000002C: 0020A223
addr 00000030: 0001C10B
addr 00000034: 0020A423
addr 00000038: 0030A623
addr 0000003C: 0040A823
addr 00000040: 0050AA23
addr 00000044: 0060AC23
addr 00000048: 0070AE23
addr 0000004C: 0280A023
addr 00000050: 0290A223
addr 00000054: 02A0A423
addr 00000058: 02B0A623
addr 0000005C: 02C0A823
addr 00000060: 02D0AA23
addr 00000064: 02E0AC23
addr 00000068: 02F0AE23
addr 0000006C: 0500A023
addr 00000070: 0510A223
addr 00000074: 0520A423
addr 00000078: 0530A623
addr 0000007C: 0540A823
addr 00000080: 0550AA23
addr 00000084: 0560AC23
addr 00000088: 0570AE23
addr 0000008C: 0780A023
addr 00000090: 0790A223
addr 00000094: 07A0A423
addr 00000098: 07B0A623
addr 0000009C: 07C0A823
addr 000000A0: 07D0AA23
addr 000000A4: 07E0AC23
addr 000000A8: 07F0AE23
addr 000000AC: 00000137
addr 000000B0: 3E010113
addr 000000B4: 00000537
addr 000000B8: 16050513
addr 000000BC: 0000C58B
addr 000000C0: 3E8000EF
addr 000000C4: 00050093
addr 000000C8: 0000A103
addr 000000CC: 0201200B
addr 000000D0: 0040A103
addr 000000D4: 0201208B
addr 000000D8: 0080A103
addr 000000DC: 0201210B
addr 000000E0: 00C0A183
addr 000000E4: 0100A203
addr 000000E8: 0140A283
addr 000000EC: 0180A303
addr 000000F0: 01C0A383
addr 000000F4: 0200A403
addr 000000F8: 0240A483
addr 000000FC: 0280A503
addr 00000100: 02C0A583
addr 00000104: 0300A603
addr 00000108: 0340A683
addr 0000010C: 0380A703
addr 00000110: 03C0A783
addr 00000114: 0400A803
addr 00000118: 0440A883
addr 0000011C: 0480A903
addr 00000120: 04C0A983
addr 00000124: 0500AA03
addr 00000128: 0540AA83
addr 0000012C: 0580AB03
addr 00000130: 05C0AB83
addr 00000134: 0600AC03
addr 00000138: 0640AC83
addr 0000013C: 0680AD03
addr 00000140: 06C0AD83
addr 00000144: 0700AE03
addr 00000148: 0740AE83
addr 0000014C: 0780AF03
addr 00000150: 07C0AF83
addr 00000154: 0000C08B
addr 00000158: 0001410B
addr 0000015C: 0400000B
addr 00000160: 00000779
addr 00000164: 0000081E
addr 00000168: 0001FFD0
addr 0000016C: 00000000
addr 00000170: 00000000
addr 00000174: 00000000
addr 00000178: 00000000
addr 0000017C: 00000000
addr 00000180: 00000178
addr 00000184: 00020000
addr 00000188: 00000DF5
addr 0000018C: FFFFFFFC
addr 00000190: 00000000
addr 00000194: 10000000
addr 00000198: 00000DB8
